content,windows
"32 bit ubuntu, 64 bit windows",1
think i should switch to 32 bit on windows?,1
"i felt it weird when i tried it, but you can run the 64-bit version on 64-bit windows and 32-bit on 32-bit linux etc, they don't need to be the same arch. might be worth a try anywho. i run the other way though, windows box where i have the mouse+kb then karmic on the one that connects to the windows box",1
"32 or 64-bit windows, 32 or 64-bit karmic?",1
but i dont know what to look at. something similar to pressing ctrlaltdelete on a windows machine and looking at the processor load or so,1
correct. a backport of that specific patch (if that would even be possible) if you'd need windows 7 support. i think #ubuntu-devel might be able to point you in the right direction to get that setup on lanchpad so that it could get backported.,1
"the samba currently available is a bit on the old side, the newer versions have a fix for windows7 shares and a security fix",1
"is there a way to restore the normal windows boot? i tried the original restore cd-rom, but did not work",1
"and i tried a windows 7 restore disk, and even that fails",1
that's the onlhy thing i miss from windows 7,1
"hi, i have ubuntu 11.10 desktop 32-bit install allong side windows 7. im having problems accesing ubuntu documents and folders from windows",1
hello! i was trying to install windows 7 instalation failed 5 times... and now when i am trying to launch normally linux and xp it writes. uncknown file  system!,1
/dev/sdb1 is the windows partition.,1
yes it is the hdd where windows is installed on! lemme try sudo parted /dev/sdb print,1
is /dev/sdb the hard drive where windows is installed?  if so you probably need to specify the partition number,1
"hmm... ikonia i am having a little problem though, i look in /media and windows 7 is there but it has a space in the name.",1
"that's correct, i assume ln -s /path-to-linux-music /path-to-windows-music would do it?",1
i'm trying to link my music folder in ubuntu to my windows music folder since that's my main os,1
"try telling enterprise it with 6,000 desktop seats that all their users have to upgrade every 6 months. watch the windows license fly off the shelves.",1
"no, i run visio inside a windows vm",1
and i was curious if it's possible to remote into the ubuntu computer and take control from a windows machine so i don't have to waste a monitor and keyboard on the ubuntu system,1
is it booting windows without showing grub?,1
"its a tv, and it works fine in windows at the correct resolution, but linux doesnt even see anything higher than 1280x720",1
"forgive me if its a dumb question, but will virtualbox let me run ubuntu inside windows (in a window itself?)",1
"ok. system is linux-usb drive, windows computer. booted into linux drive, when i type fdisk -l to identify partitions to mount using the mount command, i get a response indicating a number of partitions, several of which have ""unknown"" file systems, and none of which have ntfs as the file system. what am i doing wrong to mount the win7 disk?",1
yes i did that but my windows cant see the ubuntu,1
i want to copy my files on to the ubuntu from windows,1
how can i connect my ubuntu with a windows pc via lan,1
it's the equivalent to the user account control (uac) on windows,1
"could anyone tell me how to setup ubuntu with the bottom panal looking somewhat like the one on windows 7? i just want it so the applications i have running are shown as icons, without names. anyone know how to do this?",1
"what card do you have? fwcutter is just the extractor for the windows driver, if i recall",1
samba is so used to access windows shares,1
"you know exactly what was meant by ""using samba to access windows shares"", i think anyone in here knew, and of the 1284 people you're the only one to nit pick about it",1
"of course, one should understand that you want to access windows shares from linux, yet you insist that samba is used to mount those shares as a client accessing the share, which is false by all accounts",1
i am on windows to even get here,1
how can i recover linux after a windows install?,1
"if is a dual boot system, or has a choice of oss, then the windows mbr and then the brub or lilo loader will have to be configured.",1
"ok, then if you put windows on it first, that is in the mbr, let me look around some.",1
"see if the windows or something is still active, that page i linked from the forums should help.",1
in my school was installed ubuntu 9.10 and after that several people are losing all data from yours pen-drives that are they used in windows xp too.,1
"my laptop is old it still has stiuckers on it that say windows 98, 2000",1
"i'd go with virtualbox and a windows xp license, myself, but yes.",1
"windows7's installation cd have the tools you need on the installation disc,.",1
"if you want to uninstall ubuntu, just backup your personal files, and delete the partitions. this can be done with the windows 7 install dvd.",1
hey. i'm on ubuntu and i want to install windows 7 over it. when i try to install windows 7 it tells me it can only be installed over ntfs and that my filesystem or whatever is unrecognized,1
and ten install windows?,1
you went on an ubuntu forum to ask for help about windows.,1
i just looked at the palringo website. they don't have a version for linux. their solution is to run wine which is a windows emulation solution which can then run the windows program. not an easy solution,1
"i think you will have to make a command which the screensaver may be able to execute, you will need a linux native screensaver, not a windows one as they are for windows and ubuntu is not windows",1
it will probably work from vlc on windows also.,1
for future reference http://wiki.linuxquestions.org/wiki/linux_software_equivalent_to_windows_software,1
then maybe you added transparency to terminal windows in compiz settings disable only that,1
i just installed ubuntu but i can not go to the windows emulator,1
"ovidiu, if it's not working in ubuntu or windows, then the only thing blocking them is either your router or your isp. are you getting a static ip from your router or dhcp? if you have forwarding, they might be going to the wrong ip.",1
"what's the error, and was that 30gb on the same disk as windows? and are the c:, d:, and e: drives different disks or logical partitions",1
hello all. i am new to linux. i downloaded the ubuntu disc image file and burned it on a disc and having problem with the installation. i want to dual boot. i have windows in c drive and want to install ubuntu in d and keep e as extra. can someone help please ?,1
what's the windows application that you're running?,1
"i've got quite a nasty situation. i was trying to install ubuntu on a system that already had windows 7 on it. i was trying to do manual partitioning and it kept giving me errors when i tried to install grub. later it suddenly sowed me that the space on my hard drive that i wanted to install ubuntu to was ""unusable"". i erased the data on the /boot partition and tried to install again. now i can't get into any operating system becaus",1
and for some reason no live cds will work. neither will the windows install cd. everything was working fine until i tried installing this on top of windows with special partitioning.,1
is the windows 7 partition expendable?,1
yes most are running on top of a open source setup. with windows though you are better to recover the important stuff and just do a fresh install.,1
"hi guys, what do you use for virus scanning a windows machine via a live linux image? i've seen trinitylinux.org, but that's what i've found so far. (my dad messed up his pc)",1
"/ is the root directory, it's the equivalent of c:\ on windows",1
"i have already installed windows.. i want dual boot (like selection on startup). so after installing ubuntu, does i get selection like ubuntu & windows ?",1
"i'm just another user in here. you'll want to do a search for something like ""ubuntu proxy server"" and you'll also need to see how to set up your internet connection using a proxy server in windows as well.",1
no thanks. i don't want to connect to anyone else's computer. i'm connected to enough already. i'm no pro on this anyhow. i don't even run windows.,1
hi all! does anyone know how to make turn a windows 7 iso into a bootable usb thingie for a netbook?,1
you're also asking a question that violates the windows eula.,1
"you are asking a windows question, take it to #windows.",1
shouldnt you be asking this in #windows,1
i need help seting up remote desktop from ubuntu to windows on the internet,1
i have a windows xp computer and i am trying to remotly connect to my ubuntu computer,1
"lol it is a context thing i never used windows until about two years after starting with open source, i found windows to be rather easy since i was not afraid to use the cli",1
is there a way i can change that? its the only display i have... i want ubuntu on it and i dont want anything to do with windows 7.,1
virtual windows,1
how to get the virgual windows applet back to the gnome taskbar?,1
"that could be some codec problem. it could be a different problem on linux, but i had similar problem with avi playing in windows untill i removed bad codec, called fun-box.",1
"i am not a pro at linux @ all, i just moved from windows a month ago (where i was pro :) ). i was just thinking about similarity. the problem, that you are having, might not be caused by a buggy graphics driver or a codec.",1
"new usb devices are stoarge and whatever, first you only see storage, on this there is autorun für windowsdriver install. by issuing the modeswitch it turns into the device you really want",1
"dont know i use thundirbid, i prefer multi plateform sofware for email (linux/windows)",1
"well i tried reformatting to get windows to work again, and grub is still there",1
i can handle those two windows merged... will it allow me to add icons to the launcher bar?,1
i don't know how to find my chipset. i am a ubuntu n00b. i know how to find it in windows ;),1
go ask linux questions in ##windows and see if your sentiment is true.,1
light dm is currently under development. i would not advise installing it also everything on gnome-look is not ment for lightdm its the future though and if you feel adventurous you can program your own login windows with it,1
so i need direct loading windows from grub,1
"grub can boot windows, or you can remove grub by running the windows cd and using the repair console (but you wont be be able to boot into ubuntu again)",1
it detect's only *windows loader*,1
"she too is not using windows often, but there were a lot more boots than ""a few"" i suppose.",1
i tried using ms-sys -m to write a windows bootloader to the mbr but this doesn't work. the boot hangs on a blank screen.,1
"i saw a warning on the net about dual booting with grub and xp from dedicated boot partition. said something about the windows boot not working after a couple of boots and that is exactly what has happened to me. unfortunately, i can find neither that article (i didn't bookmark it) nor the how to guide i followed to configure the dual boot with a dedicated partition.",1
"""a few boots"" sounds unreasonable for me. what i know is that many drm schemas (one of adobe publisher and photoshop's on top) are messing up with first track of hdd. as well as many windows malware's",1
"excuse me but i am not competent to help you with windows utils as i sparesely need to boot it. idea of /boot /windows / is ok. note that these partitions are seen from grub as hd0,0 0,1 0,2 respectively",1
i use the google nexus 7 toolkit in windows for rooting it is quite nice.,1
", is not working equal windows ...",1
"then try updating your driver, remember most printer companies don't support linux as much as windows",1
"what does ""qual windows"" mean?",1
how to print equal windows ?,1
wich windows has those people to,1
yah that really sucks... why not just make it linux? or switch over to  media player that is more cross platform compatible then a windows media application?,1
"sadly i don't think we will ever for the moment, netflix uses microsofts silver light, so the only alternative would be a virtual windows system",1
"well you could do that anyways on windows or mac, theres tons of screen and audio recorders, it shouldnt be linux they fear, just people who know how to beat the system",1
"i'm having trouble duel booting, but i can access my linux install from windows",1
"hey #ubuntu, how can i edit my mbr and fix grub after installing windows... from windows?",1
"by the way, you can move windows beyond the screen borders if you click anywhere in them while you hold down the alt key, i think",1
"uh okay i installed the bios on both of those computers using both methods, a cd or from windows, does that make sense to you and check what the bot says on attitude",1
most bios flash now have the ability to run from windows or load a usb or cd.,1
"good point.  you may be able to find a bootable rescue disk that has it?  sorry, i very rarely preserve windows, so it's not functionality i use foten :)",1
"no, i'm wondering if i can put my windows partition in an extended partition without breaking it",1
"(i've been a bad boy!) oh so you want to access a windows machine.  i guess you could still do it if you ran something like cygwin, but it's probably not your best option.",1
"given that, i probably missed enough of your thread that i may not be of much help.  but what are you trying to run under windows from your linux box>",1
"no, it scales the things x renders internally, like fonts, but not most of the things windows draw, like borders etc.",1
the problem is in windows it detected dvd-rws,1
"yes you can.. you clear the space w/ windows partitioner, then you install to that partition w/ the ubuntu installer (which formats the filesystem)",1
not using the windows partitioner.,1
"i said you can't make a partition for ubuntu in windows that is a true statement, if the user does not know the difference between a unallocated space and a partition they should say so.",1
the windows version if this worked fine but i woudl rather use the ubuntu version,1
it is the boot partition recent versions of windows create.,1
"i have a computer with ubuntu 9.10 (server), it runs without a screen ans i connect to it using ssh.  but i would like to give access to someone who is using windows and doesn't know anything about cli... is it possible for him to connect to the server and have a graphical login that would load gnome once he's logged in? (and unload gnome once logged out)",1
don't make me install windows media center 2005 again ... please don't make me do that.  99% of the use of this computer will be dvds and hulu.com ... even their desktop player is choppy as hell.,1
what i mean by that is that to do things just like we did on windows we need flash to work full screen.  so i can't switch our livingroom pc over to linux until we can play full screen video in flash,1
"we are not supporting/helping use windows,",1
we are not debugging/troubleshooting windows in here,1
"yes, so you can either take it to pm or ##windows, not here",1
i have virtualbox right now and have a vm of windows,1
a custom file for windows vista? how to add other os to grub menu?,1
if you are trying to do this on windows you should probably check for a python channel,1
"hey, i just upgraded to 10.4 two days ago. but i still don't like the ""blackness"". actually i liked the brownish gray from before better. can i somehow change that? i can only find options to change the windows and stuff, but not the ""system color?"" which is black.",1
"and if i want to restore windows, can i use that same disk?",1
"i have hp g62 laptop. it currently has windows 7 installed on it. it also has 4 partitions. c:\, hp_tools, recovery, system. i want to overwrite the partition c:\ where my windows is installed. the question here is, if i overwrite it, will i be able to restore windows from the recovery?",1
"i was wondering if someone could help me. ever since upgrading from ubuntu 10.04 to ubuntu 11.04, my pc speaker randomly beeps. there is no pattern to it, it happens whether i am at my pc or if it is idle, it happens even with the pcspkr module blacklisted and also happens on linux mint 10, mint 11 and ubuntu 10.10, but not in mint 9 or ubuntu 10.04. it also does not happen on windows, so it is a problem with ubuntu 10.10/11.04. i was wondering if anyone else",1
after installing windows and then recovering ubuntu with a live disc i can no longer get into windows,1
"windows and linux on different drives, or just different partitions?",1
"use the ""connect to server"" dialog in the places menu to connect to your server via ssh, and add it as a bookmark. that will allow you to browse the servers files through your client's nautilus windows.",1
": that's what i thought... i am just crossing my fingers they'll somehow fix it in lynx, since i don't want to return my brand-new-already-removed-windows-stickers box",1
"not sure sorry, stuck on windows at the moment at work, so cant have a play or do too much googling at the moment",1
how to view my friend's screen which has windows 7. and i use ubuntu? i can see my screen. but not his screen,1
the windows machine should run vnc server,1
"i don't have anything other than another windows computer right now.  if i re-install it back in the ubuntu box and run the livecd, would that allow me read the existing files?",1
"i have a computer that i was using as a file server running ubuntu 10.04.  the system crashed today giving me a ""kernal panic-not syncing: vfs: unable to mount root fs on unknown-block (0,0)"" error message every time at startup.  i've removed the drive, and have it in a portable hard drive reader.  however, when i open the drive with a windows computer, it shows the disk as being almost full,",1
the files i'm looking to get back off of it are windows files that i was using the ubuntu box to file serve,1
"windows wont read the filesystem, do you have a actual read of it, using a install of a driver to read it?",1
would someone mind answering some seemingly novice questions for me please. 1. i would like to set up a exchange like server (free) for me and my friends (34 people). 2. i would like to set up a web page that would allow a few of us to access admin rights on all of the computers (for matinance-repairs) and am not sure where to start reading. 3. most of the 34 of us would like to be on a network simular to a windows lan (easy to,1
"oh sorry, we are using a mix of ubuntu, red hat, windows xp-2kserver, and one on win 98",1
"for sure, but, as a developper, i still use windows for leisure (essentially video games) and trust me, i miss my good terminal",1
"is there a decent, free vm that will let me boot an existing ubuntu installation from inside windows?",1
"in the system settings keyboard shortcuts dialog there's an setting for ""switch windows of an application"", but that seems to switch browser tabs rather than browser windows.",1
"i just upgraded to 12.04 from 10.04, so the unity desktop is new to me.  i often have multiple browser windows open and switch between them using alt+tab.  in the new desktop alt+tab seems geared toward switching between applications rather than windows.  you can get it to show you all windows within an application after a pause, but this makes things much slower.  is there a quick way to switch between windows of an application usi",1
i go through vmware and use a program in windows,1
gameyharp:that what i'm here for.i'm not getting same sound experience as in windows,1
i cant get the same sound experience as in windows.help me guys,1
yup.... i use the same method to tunnel to all my nix machines... it's great to see synaptic tunnel back to my windows machine :),1
ssh -y remotehost  ...... on the remote host run kate or something and the windows will tunnel back to your client,1
i have a 250gb hdd and i just deleted the 200gb windows partition and i'm wondering why the 50gb linux partition didnt just spread out,1
yo usaba mirc para el windows,1
hmm i'm not sure :/ could it be done under windows?,1
"hello, i recently installed wubi 12.04 on my windows 7 machine and for some reason one of my hard-drives is not showing up, can someone help?",1
as a last resort try to see if windows can see it. you can burn hiren's bootcd for a live mini windows,1
"i have had problems with partitions from windows to linux, i just use a encrypted file and that works fine.",1
i need help mounting a hidden truecrypt volume that was created in windows d:,1
"i just installed ubuntu with ""into windows"" option",1
"i have installed wubi ubutuntu on my computer and dont know how to access the files that i have on windows vista from wubi ubuntu?  is there a way to access the files and programs of mine?  i need help with this, i dont have any knowledge about this at all, please help me with this?",1
wubi is kind of a mess for installs. is there an otion to mount your windows drive in the places menu?,1
"hmmm i'm quiet attached to my mac, anyone else made the jump from windows to os x to ubuntu?",1
"(my os: ubuntu 9.10 ) hi everyone. does anyone know the answer for this issue? i get it when i try to extract a concrete .zip file. by the way, this zip file was generated in windows. http://pastebin.com/zgnxfer8",1
"i installed windows, then i parted for a free space (for data) and for linux, then i installed ubuntu, and then mandriva..",1
lol - totally agreed. windows owns mbr no matter what might be there.,1
"×.× i got ubuntu 9.10 today on my dell inspiron laptop, i'm dual booting it with windows vista. vista can find my wireles internet just fine, but when i log onto ubuntu, it won't recognize it.",1
i didn't like it on windows years ago.,1
"question, i got an old laptop too.  500mhz, 64mb ram. windows 98 era.  what version of linux will make this fast?",1
there is no iceweasel for windows,1
but in  windows firefox and iceaweasel work diferent,1
in windows xp,1
you can try to see if your usb drive works all right in windows and/or in another linux computer.,1
"mrpink57: hum i think something might be wrong with it, i took it upstairs to my windows desktop. it was detected as well but i still could not access the external anywhere",1
you might be seeing windows permissions. maybe take a screenshot,1
"hello people. my parents are considering to buy a new laptop for me. what are good brands for use with ubuntu, but also windows 7?",1
seems fine but it depends on what you're using it for. don't expect to be pumping out some high fps when gaming in your windows partition with a celeron w/ 1mb of l2 cache,1
"i want a hdd with windows, mac, and linux on it!",1
"hope you get it too work ,  i tried hard windwos xp sp 3 ,  might bee better luck with windows 7",1
hehe geting windows to boot from external is kind of mission impossibel.,1
nice too hear that linux is better then windows too run like that.,1
"it's not worth it, anyways. the only reason to use windows would be for gaming, imo - in which case an external is not exactly the kind of speed you're looking for",1
so how ikonia how can i share file on my windows system and on my vbox windows xp,1
hey guys i am having some problems with dns .. basically it is not working but using ips instead is working .. funny thing is that i have a windows computer on the same network that isn't experiencing these problems,1
"ok n00b question - i just installed xubuntu and i want to access my windows pc's shared files, over the network.  how do i do this?  the windows pc has been sharing files for quite a while to the other pcs on my home network",1
it just says fat32  .. dont see where windows is involved.,1
"the bad thing about that last one is that i need windows, or do you think it will work with wine¿",1
"you mean the install, sri, though you men a windows os, i dont see why it wouldn't work. try, can't hurt.",1
"what is supposed be there ? i have a grub, its just not loading windows",1
"i'm trying to dual boot windows 7 and karmic and when adding the (root hd(0,1) makeactive chainloader +1) entry and trying that i get: unkown device string error",1
"oh, so you have working grub, you just need to add windows to it?",1
https://help.ubuntu.com/community/windowsdualboot,1
just scroll down a little bit to recovering grub after reinstalling windows.,1
"besides, clamwin is for windows not linux",1
if you like the old sid meirs gaames - civilization and colonazation :) they are great.  also  ported to windows i belive,1
"i just upgraded to 10.04 and now none of my windows have any window management controls (maximize, minimize, etc.)",1
have you ever been able to see the windows drive?,1
its just a box you tick in one of the option windows,1
well how do you do it on windows? perhaps we can find a solution,1
"what was the method that you used to do this on windows? if you dont know what its called, then  tell me where i can find it and il have a look",1
windows firewall? ugghh!,1
you have to watch out with free firewalls on windows cause some of them will break things to where you need to re-install windows. comodo likes to do that. poor windows users.,1
!windows live cd,1
"hi all,my ubuntu crash and kernel panic, how to recover ubuntu like windows installation recovery on setup cd ?",1
true. i use ccsm extensively. i really need the 3d cube to work with the 3d windows due to the fact that i have 6 vm running all at once. seems the not even gnome will work with the cube now? is this correct?,1
http://apcmag.com/how_to_dual_boot_linux_and_windows_xp_linux_installed_first.htm?page=5,1
but the client machines are windows,1
"in fact, you reminded me that the other computer is not running windows at all",1
"is there a known bug introduced by recent samba updates? yesterday i was quite happily able to explore the entire windows network; but i am running in a vm. windows decreed that i shall reboot, and since i restarted the vm i get dbus timeout errors on most network drives",1
i dont want to ill lose work windows.,1
unless i log out and lose all my windows,1
"i have a corrupted win 7 install on another partiton that won't boot, trying to re install windows without erasing my other data",1
even if you run a windows 7 repair.... not a system recovery! your other partitions should remain intact.  backing up your mbr won't save your partitions. you would need to do a full system backup to ensure that.,1
i dont' know if its possible to install windows 7 without it overwritting you mbr... but you could use the ubuntu alt cd and rescue a broken install and just select fix grub and all should be back to normal.,1
well i asked if anyone knew about file sharing. what does ubuntu use for that? i cant seem to get it to share with a windows networok,1
"i then tried to install within windows to dual boot, just to see if that works",1
did you say windows does the same thing when you boot it?,1
windows works fine,1
the problem here is all windows dont work good,1
u know all windows seem to not work good,1
arand: does either of you know what sequence of commands might induce grub2 to chainload? i'm faily certain apollo8's windows partition is on /dev/sda1.,1
"however, you might at least try the following to command to get yourself into windows:",1
how do i access windows share thru gui ? i tried places -> connect to server -> windows share  and then put the servername example.qintra.com and username and domainname .. and when click connect .. it prompted password.. i provided that .. and i get this error,1
install windows,1
i noticed that on utorrent in windows as well,1
"psychomari0 - i'm going on memory from another windows sessions that the module is in fact acer_wmi, but i'm not 100% certain on that, right now i can't seem to get web access, ie keeps failing miserably, is that indeed the module i'm looking for do you know?",1
it only lists windows xp and windows vista.,1
"but i do not want to install windows on a vm, i want to run it on a vm. windows is already installed on c:\ (/dev/sda2)",1
just choose windows,1
"is there an easier way, like in windows?",1
"im more kde than gnome, but i know in kde there is something called kdc... errr... something.. hehehe, that does vnc, windows remote desktop, etc.",1
"thank you airtonix! what happened is, i tried to install this virtual world made for windows, called there.com . it works in dx8 and ogl, now i started it in dx8 and the world looked like i had x-ray vision.",1
did you install windows first?,1
"then you shouldnt have a problem, you can use a gparted cd or ubuntu installation cd to boot into gparted and erase debian's partitions. you can also just use windows cd and fix the master boot record if you only want to use windows but you will have to use gparted or partition magic if you want to use the free space in windows",1
"well, managed to do so on windows",1
"if you want to measure traffic on another machine, you'll need to be doing the measuring on a gateway machine, or simply setup something on windows to measure its own traffic",1
"i am looking to just get an idea of total usage, but its a remote machine, he is on windows",1
mswindows probably has its own bandwidth meter(event collector/counters etc).. you'll have to dig into that..,1
it's a programming toolkit which helps write gui programs for linux/windows/maybe mac,1
no i dont use wine since i dont use proprietary windows applications,1
"but wine being explicitly not an emulator, it should be no slower than a native application (and is frequently reported to be a good deal faster than running an application natively on windows)",1
i'm planning on using windows machine to access the data (fat) partition,1
"with ""see your ubuntu file"" i suppose you mean you can, on your windows box, click on the network icon, click on your workgroup and then see the ubuntu computer, click on it and see shared files, right?",1
regular networking works just fine.. even if you can't see the ubuntu laptop in the network neighbourhood of your windows pc,1
"it will remove windows compatibility, though, probably",1
i dont have windows on it ..,1
"ndiswrapper is all i have to use, my wifi card is pre 2005 and no support without windows drivers.. this is actually the reason im here.... ndiswrapper -l says ssb is alternate driver but its blacklisted. says bcmwl5 is the driver and hardware is present. ubuntu network mgr says no network devices available. blacklisted ssb bcm43xx b43legacy. am i missing something, something i forgot to do?",1
and to answer your question i reboot at least once or twice a day from windows into linux,1
"i have lost the ability on my laptop to connect to my wireless network. if i leftclick on the network icon in the idicator area, i see enable networking, and it is checked, however enable wireless no longer exists. wireless works when i boot into windows. i'm running natty with unity.. any ideas?",1
and spaceghostc2c sorry was searching google to find invert colors sorry a windows term :(,1
quick tip press windows logo and n or m to invert colors..,1
quick tip if using compiz turn on negitive plugin windows logo,1
the xbox is worse than windows xp (imo) lets not get too offtopic though.,1
"""windows logo key"" is known as the super key.",1
thats what i thougght it does in windows,1
i wanna install ubuntu 12.04 in windows xp,1
:s dunna what to tell you. it happens with active and inactive windows too.,1
and accidentally add/removed my ubuntu virtual drive instead of the virtual machine.  is there a way to recover my virtual drive etc. after windows accidental removal?,1
"thanks, john.  well i first installed ubuntu studio on a virtual machine in windows xp.  then discovered wubi and installed ubuntu standard that way...",1
how can i install windows software on my ubuntu?,1
i know the feeling. unfortunately as far as i know there is no ext4 support in windows yet.,1
uh...i could format it as ntfs. thats not the point. i am right now using windows and am too lazy to reboot into ubuntu :p,1
"thats good enough for me, i just want to copy stuff from my linux partition to windows partition. i could do that in ubuntu but i kinda manage to mess up my last ntfs partition :)",1
"besides, i'm looking for a better way to access linux <-> windows without actually creating yet another partition!",1
"what do i need to add to boot.ini in windows xp , so grub2 will load?",1
can somebody please a virtual machine for linux that can run windows? it must not require a genuine windows os install cd to run windows programs. it has to be able to run windows programs without a genuine windows os. do not tell me to use wine! i am asking because wine isn´t wanting to run genesis2d properly. the version of wine i have is the latest developmental version from winehq downloaded by the package repository listed on t,1
"you could look at crossover office, but it is built on top of wine, only other suggestion is a virtual windows machine, aka virtualbox + windows",1
crossover also requires its bottles to run windows programs,1
i have tried crossover. it uses what it calls ´bottles´ to manage running windows programs. the demo has no default bottle and won´t let me create a bottle. so has to be something else.,1
"this has happened on windows aswell , my comuter is a cruel mistress",1
"if it happens in windows as well, it is not an alsa issue and is likely a hardware issue. grounding might be the cause. poor sound card quality could do it as well. i'm a software oriented person, and this falls outside my expertise.",1
yes i just did a clients system that had windows 7 on it,1
